system_prompt,input,output,llama_output,distill_llama_output
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Information:  - A department store or magazine is a retail establishment offering a wide range of consumer goods in different product categories known as ""departments"". In modern major cities, the department store made a dramatic appearance in the middle of the 19th century, and permanently reshaped shopping habits, and the definition of service and luxury. Similar developments were under way in London (with Whiteleys), in Paris (""Le Bon Marché"" in 1852) and in New York (with Stewart's).  - Zayre was a chain of discount stores that operated in the eastern half of the United States from 1956 to 1990. The company's headquarters was in Framingham, Massachusetts. In October 1988, Zayre's parent company, Zayre Corp., sold the stores to the competing Ames Department Stores, Inc. chain, and in June 1989, Zayre Corp. merged with one of its subsidiaries, The TJX Companies, parent company of T.J. Maxx. A number of stores retained the Zayre name until 1990, by which time all stores were either closed or converted into Ames stores. (The TJX Companies, which also owns Marshalls, HomeGoods, and Sierra Trading Post, is still in operation as of 2016.)  - T.J. Maxx is an American department store chain. With more than 1,000 stores, T.J. Maxx is one of the largest clothing retailers in the United States.  - Marshalls , Inc. , is a chain of American and Canadian off - price department stores owned by TJX Companies . Marshalls has over 975 conventional stores , including larger stores named Marshalls Mega Store , covering 42 states and Puerto Rico , and 38 stores in Canada . Marshalls first expanded into Canada in March 2011 . Marshalls is U.S. 's second largest off - price family apparel and home fashion retailer , behind its sister company , T.J. Maxx .  - The TJX Companies, Inc., is an American apparel and home goods company based in Framingham, Massachusetts. It claims to be the largest international apparel and home fashions off-price department store chain in the United States. The company evolved from the Zayre discount department store chain, founded in 1956, which opened its first branch of T.J.Maxx in 1976 and its first BJ's Wholesale Club in 1984. In 1988, Zayre sold its nameplate to rival Ames, and T.J.Maxx was renamed ""The TJX Companies, Inc."".  - Puerto Rico, (Spanish for ""Rich Port"") officially the Commonwealth of Puerto Rico (""Free Associated State of Puerto Rico"") and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea.  - Framingham is a town in Middlesex County, Massachusetts, United States. The population was 68,318 as of the United States 2010 Census, making it the 14th most populous municipality in Massachusetts. Founded in 1700, Framingham was placed at # 36 on 'Best Places to Live in US' by CNN ""Money"" magazine in 2012.  - The Caribbean Sea is a sea of the Atlantic Ocean in the tropics of the Western Hemisphere. It is bounded by Mexico and Central America to the west and south west, to the north by the Greater Antilles starting with Cuba, to the east by the Lesser Antilles, and to the south by the north coast of South America.    Given the information above, choose from the list below the object entity that exhibits the relation 'headquarters location' with the subject 'marshalls'.  Choices: - caribbean  - central  - framingham  - london  - middlesex  - new york  - paris  - porto  - puerto rico
A:","The object entity that exhibits the relation 'headquarters location' with the subject 'Marshalls' is Framingham. Framingham is a town in Middlesex County, Massachusetts, United States, and it is where Marshalls' headquarters is located. Marshalls, Inc., is a chain of American and Canadian off-price department stores owned by TJX Companies, and it is headquartered in Framingham.",,
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-bystep and justify your answer.,"Q: Yes / no, is the following a verifiable fact?
""One can find that Hurricane Harvey was a Houston hurricane that had occured in August 2017.""
Chain-of-thought:","Yes, the statement ""One can find that Hurricane Harvey was a Houston hurricane that had occurred in August 2017"" is a verifiable fact. Here's why:

1. Hurricane Harvey was a real event that occurred in August 2017. This is a matter of public record and can be verified through various sources, such as news articles, government reports, and scientific studies.

2. Houston was one of the areas that was severely affected by Hurricane Harvey. This is also a matter of public record and can be verified through the same sources mentioned above.

3. Therefore, it is a verifiable fact that Hurricane Harvey was a Houston hurricane that occurred in August 2017. This statement accurately describes the event and its impact on the city of Houston.",,
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Q: What notable quality made Burma stand out from other South East Asian countries ?
 A: It produced 75% of the world's teak and had a highly literate population.
 Does the answer correctly answer the question","The answer provided partially addresses the question by highlighting two notable qualities that made Burma stand out from other South East Asian countries. However, it is important to note that there are several other factors that could also be considered when discussing what made Burma unique in the region. 

For instance, Burma was known for its rich cultural heritage, diverse ethnic groups, and unique political history. The country was also home to several iconic landmarks and tourist attractions, such as the ancient city of Bagan and the Shwedagon Pagoda. Additionally, Burma had a distinct cuisine, music, and art scene that set it apart from its neighboring countries.

Therefore, while the answer provided does touch on some notable qualities of Burma, it is important to acknowledge that there are several other factors that contributed to the country's uniqueness in the region.",,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Please answer the following question: What is the missing first step of the following process:  -  A baby bird forms within the egg if it is fertilized - The baby bird begins pecking out of the egg - The baby bird is unable to fly to get food - The mother bird must feed the baby bird food - The bird grows stronger and grows wings - The bird is able to fly - The bird is able to leave the nest and find food - The bird is able to reproduce.
A:","The missing first step of the process is the mating of the mother and father bird. In order for the egg to be fertilized, the mother bird must mate with a male bird. This step is crucial as it determines whether the egg will develop into a baby bird or not. Without the mating process, there would be no fertilization and therefore no baby bird forming within the egg.",,
You are an AI assistant. Provide a detailed answer so user don’t need to search outside to understand the answer.,"Build a movie plot around this: Who haunts Lau? Mary
A:","The movie revolves around Lau, a successful businessman who seems to have it all. However, he starts experiencing strange occurrences in his home and office. He hears footsteps, doors creaking, and objects moving on their own. Lau becomes increasingly paranoid and starts to investigate the source of these disturbances.

As he delves deeper into the mystery, he discovers that his office building was built on the site of an old mental institution where a patient named Mary died under mysterious circumstances. Lau realizes that Mary's spirit is haunting him and seeks the help of a paranormal investigator.

Together, they uncover the truth about Mary's death and the dark secrets of the mental institution. As they try to put Mary's spirit to rest, they face terrifying challenges and unexpected twists. In the end, Lau must confront his own demons and make a sacrifice to save himself and those he loves from Mary's wrath.",,
You are an AI assistant. Provide a detailed answer so user don’t need to search outside to understand the answer.,"Process: - Bacteria enter the body - Bacteria start to divide and grow - The uncontrolled growth takes away resources from other cells - Other cells cannot function properly - We feel unwell - The growth and division of bacteria produce toxins - Toxins harm the body - The body tries to react to the toxins - The body&#x27;s natural defenses can sometimes cause us to feel unwell.  Question: suppose a sterilized surface is touched happens, how will it affect the disease will progress more slowly.  - A: more - B: less - C: no effect
","If a sterilized surface is touched, it will have no effect on how the disease progresses. The progression of a disease is primarily determined by the presence and activity of the bacteria within the body. Touching a sterilized surface will not introduce any new bacteria into the body or affect the growth and division of existing bacteria. Therefore, the disease will progress at the same rate as it would have without touching the sterilized surface. The correct answer is C: no effect.",,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Get schools out of the 1890s

Editor's note: Newt Gingrich is a co-host of CNN's ""Crossfire,"" which airs at 6:30 p.m. ET weekdays, and author of the book, ""Breakout: Pioneers of the Future, Prison Guards of the Past, and the Epic Battle That Will Decide America's Fate."" The opinions expressed in this commentary are solely those of the author.

(CNN) -- If, as the popular saying goes, the definition of insanity is doing the same thing over and over and expecting a different result, the people who run our public schools fit that description. For several generations now, schools have been failing students the same ways over and over and expecting a different result.

Teachers lecture, students sit and some listen. Class happens at the same time, with the same material, and at the same pace for everyone. This is an 1890s model of education -- teaching to the ""average"" student, rather than the individual.

In an age when most information and knowledge is transmitted digitally and is increasingly personalized—think about how Netflix, Pandora, Twitter and Facebook work— we should be able to do much better than that.

Pioneering projects like Khan Academy, Udacity and Coursera are pointing toward a future of learning that is more like Netflix than the chalk-and-textbook system we have today. Each of them is using technology to help students learn at their own pace, on their own path, and toward their own goals.

As Udacity founder Sebastian Thrun told me in an interview for my book ""Breakout,"" ""I think we found the magic formula. That may sound pretentious, but the magic formula for me is high-quality education at scale. I think we owe students a personalized, high-quality experience.""

New resources like Khan Academy have enabled creative teachers to integrate digital learning into the classroom and to coach students to offer better, more personalized instruction.

This ""blended learning""—having some teaching done by a teacher and some through digital learning systems—is a revolutionary concept that when effectively implemented has led to impressive learning gains, especially among students who have traditionally underperformed. Now this model is getting a boost from a forward-thinking leader in Congress.

This week, Republican Conference Chairwoman Cathy McMorris Rodgers, R-Washington, introduced legislation to set up five state pilot programs to implement this new instructional method

Her idea is to harness the extraordinary progress that charter schools, along with other innovative public and Catholic schools, have had by combining teachers with personalized digital learning systems.

To acquire technology and train teachers often requires an up-front investment. Rodgers' bill pledges $25 million to states in the form of block grants to set up this program. And unlike most federal spending proposals, these grants actually are investments that pay off over time. The long-term cost of educating students, which has been rising exponentially since the 1960s, declines dramatically under blended learning. Taxpayers and students win with a little help from innovation.

This model works precisely because it asks much of teachers and their students. Students' skills are assessed daily or weekly through interactive systems like Khan Academy (which you can try here; it's completely free).

Future lessons are tailored to fit their needs. Then teachers, armed with detailed data about each student, can lead small group and one-on-one sessions to help clear up problems. If, for example, Susie is having trouble grasping fractions, a teacher would be able to identify her difficulty, often that same day, and intervene to make sure she doesn't get left behind.

Under the traditional model of education, students who are having trouble often pass from lesson to lesson, falling further and further behind until the teacher has the time to review the entire class' progress. By then, Susie has probably become frustrated and tuned out. In the case of subjects like math that build upon previous lessons, this phenomenon can be devastating. Students can fall entire grade levels behind before anyone notices they have missed basic concepts that are impeding their progress.

Educators with online tools, on the other hand, can usually accelerate the pace of instruction. In some cases, students skip whole grade levels while using blended learning.

The results of this method of teaching have been astounding, especially in charter schools that have adopted it early, like KIPP Empower Academy in Los Angeles. Nestled in an impoverished neighborhood where most students receive free or reduced lunch (a proxy for poverty), KIPP Empower has adopted blended learning and has seen progress that was once unthinkable. It recently scored an amazing 991 (out of 1,000 possible points) on the California Academic Performance Index. That makes KIPP Empower the top-performing school in Los Angeles County and one of the best in the state of California.

Traditional public schools have also benefited from this model. Oakland Unified partnered with the Rogers Foundation to set up a similar program in a handful of inner-city schools in that district. The results are far fewer discipline problems and much better scores. At one of the pilot schools, the number of students reading at grade level actually doubled.

Promising blended learning programs are underway in settings as wide-ranging as Washington, D.C., South Carolina's Horry County Schools, and Middletown, New York, according to the Lexington Institute's Don Soifer.

In addition to these achievement gains, blended learning is also proving to be more cost-effective for taxpayers than the traditional model.

The cost of educating each student declines in blended-learning environments, in part because schools require fewer teachers to manage the classrooms. With fewer discipline issues, students become more engaged in the material and as a result, learn better. Additionally, teachers have more free time to spend with each student. This makes classroom size rules obsolete, and since compensating teachers has been the main cost driver in education, it is a big breakthrough.

Contact your member of Congress today and voice support for Rep. Rodgers' bill to help more schools start blended learning pilot programs. It's time our education system enters the 21st century.

Read CNNOpinion's new Flipboard magazine

Follow us on Twitter @CNNOpinion.
What are the most important parts of this text?","The text discusses the need to update the traditional model of education, which is based on teaching to the ""average"" student, and move towards a more personalized, technology-driven approach. The author highlights the success of blended learning, which combines teacher-led instruction with digital learning systems, and the positive impact it has had on student achievement and cost-effectiveness. The article also mentions a bill introduced by Republican Conference Chairwoman Cathy McMorris Rodgers to set up five state pilot programs to implement this new instructional method.",,
"You are a teacher. Given a task, you explain in simple steps what the task is asking, any guidelines it provides and how to use those guidelines to find the answer.","Given the task definition and input, reply with output. Given a question, generate a paraphrase of that question wihout changing the meaning of it. Your answer should reword the given sentence, but not add information to it or remove information from it. The answer to your question should be the same as the answer to the original question.

Question: what was kanye wests first song?
","Paraphrased question: Which song did Kanye West release first? 

Answer: Kanye West's first song was ""Through the Wire"" which was released in 2003.",,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Write an article with the title: ""He studies what makes kids kill. The Munich shooter studied his book before killing nine.""

Article:","The recent Munich shooting has once again brought the issue of youth violence to the forefront of public attention. As the world mourns the loss of nine innocent lives, many are left wondering what could have driven the shooter to commit such a heinous act. One man who has dedicated his life to understanding the root causes of youth violence is Dr. Peter Langman.

Dr. Langman is a renowned psychologist and author who specializes in the study of school shootings and other acts of youth violence. His book, ""Why Kids Kill: Inside the Minds of School Shooters,"" has become a seminal work in the field, providing valuable insights into the psychological and social factors that can lead young people to commit acts of extreme violence.

It has recently come to light that the Munich shooter, Ali Sonboly, had reportedly studied Dr. Langman's book prior to carrying out his attack. While it is impossible to know for certain what role, if any, the book played in Sonboly's decision to commit violence, it is clear that Dr. Langman's work is of great importance in understanding and preventing such tragedies.

In ""Why Kids Kill,"" Dr. Langman draws on his extensive research and clinical experience to provide a comprehensive analysis of the complex factors that can contribute to youth violence. He examines the role of mental illness, social isolation, bullying, and other factors that can lead young people to feel marginalized and disconnected from society. He also explores the ways in which popular culture and media can contribute to a culture of violence and desensitization.

Perhaps most importantly, Dr. Langman's book offers practical advice for parents, educators, and mental health professionals on how to identify and intervene with at-risk youth before they turn to violence. He emphasizes the importance of early intervention and the need for a comprehensive, multi-disciplinary approach to addressing the complex issues that can contribute to youth violence.

In the wake of the Munich shooting, it is clear that there is still much work to be done in understanding and preventing youth violence. Dr. Langman's work is an important step in this direction, providing valuable insights and practical guidance for those working to keep our communities safe. While there are no easy answers to the problem of youth violence, we can take comfort in knowing that there are dedicated professionals like Dr. Langman working tirelessly to find solutions.",,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Given the question: Read the following article and select the best answer. Article: You get all sorts of demands, and the mark of a good hotel is to supply whatever is asked for without sounding surprised. If a guest asks for rubbers gloves, you don't ask why. You say, ""No problem. What color1 do you want?""   There have been some demands which, much as I would have liked to fill, I couldn't. A Japanese businessman, for example, thought the manager of a hotel was like his girlfriend so he asked me to marry him to the woman he loved. There was one time, however,  _ . A young man thought that if he asked his girlfriend to marry him at the Ritz she would say yes. He asked us to put the ring in a cake, and she accepted.    Top hotels are used more and more to impress. They are used for doing business. If you've got something to sell, take your clients  to the best hotel where the surroundings are quite helpful. A friend of mine working at Savoy Hotel tells the story about a man who gave him 5 pounds to say ""Good morning, Mr. Smith saying, ""I do wish they would leave me alone at this place.""   According to Julian Payne, the most powerful people in any hotel are the porters, who carry bags for hotel guests. ""Porters can do almost anything. They can get you tables at the best restaurants or tickets for a popular concert. Don't ask me how they do it or what their deal is because I don't know. Most of them have been there for years. They know more about the history of the hotel and the guests than anyone else. They are invaluable. A head porter will come in even on his day off so he can say hello to someone he remembers visiting the hotel years ago."" Question: Why are the porters considered the most powerful people in expensive hotels? - They sell tickets for concerts - They can complete difficult tasks - They know the history of hotels - They usually work in a hotel for a long time
The answer is:",The porters are considered the most powerful people in expensive hotels because they can complete difficult tasks.,,
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Article:

Ted Cruz asked Ben Carson on Thursday night to meet with him privately, the Carson campaign confirmed to CBS News. 
  
 The meeting was called to discuss the Cruz campaign's tactics during the Iowa caucuses in which it spread a false rumor to voters about Carson dropping out of the race at that point. 
  
 In a statement provided to CBS, the Carson campaign said, ""Clearly they (the Cruz campaign) thought the meeting would produce something for them politically"" and that ""it appears that Cruz still resists accepting any responsibility."" 
  
 The meeting, which was first reported by The Daily Beast, happened in a storage closet just before the Conservative Review convention, according to the report. There may not have been chairs or lights in the closet, the report said. A GOP operative who witnessed the meeting told The Daily Beast that the two candidates were in the closet for about 20 to 25 minutes as Carson's Secret Service detail waited outside. 
  
 Carson wanted the meeting to remain off the record, and suggested that the Cruz campaign leaked it to the press. The retired neurosurgeon said earlier this month that Cruz had asked for a one-on-one meeting to discuss what happened on the night of the Iowa caucuses on Feb. 1. 
  
 Jason Osborne, senior communications strategist, for Carson's campaign told The Daily Beast that the candidate was informed about the meeting late and didn't have time to prepare and as a result it ""did not go well."" 
  
 Their secret meeting comes before South Carolina's GOP primary on Saturday. 
  
 CBS News' Erica Brown contributed to this story. ||||| Two grown men running for president met in a storage closet last night. 
  
 The meeting, called by Ted Cruz in an attempt to mend fences with Ben Carson ahead of the South Carolina primary, was held on Thursday night before the Conservative Review convention. The two huddled in the unusual venue for nearly 20 to 25 minutes, as Carson’s Secret Service detail stood outside, according to a Republican operative who witnessed the strange scene. 
  
 Carson, whose campaign has spent the weeks after Iowa blasting Cruz for lying to voters in the Hawkeye State, agreed to meet him for five minutes, according to a source close to Carson’s campaign, to try to put to bed the issue of his dirty campaign tricks in Iowa, during which Cruz’s campaign told caucus-goers that Carson had dropped out of the race. 
  
 Carson’s campaign confirmed the meeting—which was was supposed to be short and off-the-record—and blamed the Cruz campaign for leaking the fact that it occurred in an attempt to rectify his public image. 
  
 Given previous opportunities to accept responsibility for his actions, Cruz blamed a report from CNN, alleging that it misled his campaign into thinking that the former neurosurgeon was no longer in the presidential contest. In the weeks after the Iowa caucus, the 2016 Committee, a PAC affiliated with Carson, has spent a great deal of time fundraising off of Cruz’s lie. 
  
 Cruz has been under fire since Iowa from Donald Trump, Carson, and now Marco Rubio for what they call dirty campaign tricks. Most recently the Rubio campaign slammed Cruz for a ridiculous photoshopped image that depicted Marco Rubio shaking (left) hands with President Obama. 
  
 “We weren’t going to comment to the press on it, but it seems pretty clear that the other party involved had a different agenda,” Jason Osborne, senior communications strategist for Carson’s campaign, told The Daily Beast. “How else could we perceive that to be?” 
  
 He said that he was informed late about the meeting and didn’t have time to prepare Carson at all. It “did not go well.” 
  
 The meeting, which took place in a storage closet across from a bathroom at the convention center on Thursday, ended with Carson saying “we agree to disagree.” 
  
 “We disagree on accountability and culpability,” is how Carson put it, according to Osborne. 
  
 A Republican operative told The Daily Beast that the Cruz campaign wanted to have the conversation on “neutral ground,” so they would not allow for it to take place in Carson’s green room, which was right next to Cruz’s. 
  
 Reporters were allegedly already calling the Carson campaign as the meeting was going on, with the two full-grown men in a closet that allegedly had no chairs, which indicates that someone leaked details in advance of The Daily Beast being informed about the meeting. 
  
 Get The Beast In Your Inbox! Daily Digest Start and finish your day with the top stories from The Daily Beast. Cheat Sheet A speedy, smart summary of all the news you need to know (and nothing you don't). By clicking “Subscribe,” you agree to have read the Terms of Use and Privacy Policy Subscribe Thank You! You are now subscribed to the Daily Digest and Cheat Sheet. We will not share your email with anyone for any reason. 
  
 Secret Service members were guarding the door and simply said to a Republican operative in the hallway: “Yeah, they’re in that closet.” 
  
 It is unclear if there were lights inside of it. 
  
 The conversation lasted so long that it bled into Carson’s speaking time at the convention, leaving members of his campaign having to knock on the door to get him ready. 
  
 After Carson spoke at the convention, and saw Cruz in the hallway again, Cruz didn’t even look at Carson, according to the latter’s campaign. 
  
 “There was a political play there and it didn’t work for them,” a Republican operative close to the campaign told The Daily Beast. “The meeting didn’t go as well as Cruz wanted it to go. Carson had a smile on his face and was looking right at him.” 
  
 When reached for comment, Rick Tyler, a spokesman for Cruz’s campaign, said, “Yes, they had a good visit.” |||||
What is a summary?","Ted Cruz and Ben Carson met in a storage closet before the Conservative Review convention to discuss the Cruz campaign's tactics during the Iowa caucuses. The meeting was called to discuss the Cruz campaign's tactics during the Iowa caucuses in which it spread a false rumor to voters about Carson dropping out of the race at that point. Carson wanted the meeting to remain off the record, and suggested that the Cruz campaign leaked it to the press. The meeting, which took place in a storage closet across from a bathroom at the convention center on Thursday, ended with Carson saying “we agree to disagree.”",,
You are an AI assistant. Provide a detailed answer so user don’t need to search outside to understand the answer.,"Q:What is the answer for the question: How does Sam know the person who gets his head crushed by a statue? from the following article ?  Sam Lawton is on his way to a company retreat with his colleagues. While their bus crosses the North Bay Bridge, Sam has a premonition that the bridge will collapse, killing everyone except his ex-girlfriend Molly Harper, whom he manages to get across the bridge safely. In a panic, he persuades several people to leave the bridge before it collapses, including Molly, his friends Nathan Sears and Peter Friedkin, Peter's girlfriend Candice Hooper, his boss Dennis Lapman, and his co-workers Olivia Castle and Isaac Palmer. FBI agent Jim Block doesn't believe that Sam is responsible for the bridge collapse, but promises to keep an eye on him. At the memorial service, coroner William Bludworth mysteriously tells the survivors that ""Death doesn't like to be cheated,"" and warns them to be careful. However, they ignore his warning and leave, believing this to be nonsense. Later, Candice goes to the gym to practice with Peter, but a chain reaction causes her to fly off the uneven bars, and she snaps her spine, leaving Peter devastated. The next day, Isaac is killed at a Chinese spa when his head is crushed by a falling Buddha statue during an acupuncture session. Bludworth, who has been present for both deaths, tells the remaining survivors that if they wish to cheat Death, they must kill someone who was never meant to die on the bridge, and thereby claim their remaining lifespan. On the same day, Olivia goes to an eye surgery clinic to treat her myopic vision. While the doctor is away looking for files, the laser malfunctions, searing her eye and hand. She manages to free herself just as Sam and Molly arrive to save her, but trips and falls out of the window onto a car below. Later, Sam learns that the survivors are dying in the order they were meant to die on the bridge, and realize that Nathan is next.
A:",The article does not provide information on how Sam knows the person who gets his head crushed by a statue. The article only states that Isaac Palmer is killed at a Chinese spa when his head is crushed by a falling Buddha statue during an acupuncture session.,,
Explain how you used the definition to come up with the answer.,"Detailed Instructions: In this task, you will be given a movie review and a question about the reviewer's sentiment toward one aspect of the movie in Persian. You have to infer the answer to the question from the review and classify it. Classify the reviewer's sentiment into: ""no sentiment expressed"", ""negative"", ""neutral"", ""positive"", and ""mixed"". The mixed category indicates reviews where none of the sentiments are dominant (mix of positive and negative, or borderline cases); hence it is hard to detect the primary sentiment. Also, assign neutral label to reviews that express no clear sentiment toward an entity or any aspect of it. The ""no sentiment expressed"" label should be assigned to the reviews where the given aspect didn't discuss in the text.
Q: با این‌که می‌شد گفت یک جورهایی فیلم در نیامده، به دل من بسیار نشست. سفری زنانه و پایین‌ها و بالایش، با بازی خوب لیلا حاتمی و موسیقی خیلی خوب پورناظری و همایون شجریان. در مجموع به نظرم حمید نعمت اله فیلمساز قابلی است.<sep>Question: نظر شما در مورد شخصیت پردازی، بازیگردانی و بازی بازیگران فیلم  رگ خواب چیست؟
A:",positive,,
You are an AI assistant that follows instruction extremely well. Help as much as you can.,"Given the question: Is there a negative or positive tone to this product review? === Title: Cheap and nothing ""dry"" about them Review: We have been using huggies little snugglers and loved them. Never a leak and never diaper rash. Well, I tried the snug and dry for size three and there were always droplets of moisture when I removed the diaper and my daughter was always red. I bought a pack of pampers today and the redness is already gone and she has been much happier being dry. The product just feels cheaply made. Very dissapointing Answer:
The answer is:",There is a negative tone to this product review.,,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Question: What is the capital of the Northwest Territories, Canada?
Answer:","Step 1: Understand the task
The user wants to know the capital of the Northwest Territories in Canada. I should provide an answer to this question.

Step 2: Recall or search for the information
As an AI, I can access a vast amount of knowledge and data. In this case, I already have the information stored in my database.

Step 3: Verify and ensure the accuracy of the information
The information I have suggests that the capital of the Northwest Territories is Yellowknife. To ensure this information is accurate and up-to-date, I can cross-check with the official government website or other reliable sources.

Step 4: Present the answer
After verifying the information, I can now present the answer to the user.

Answer: The capital of the Northwest Territories, Canada, is Yellowknife.",,
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Please answer the following question: Extract the answer to the following question from the movie plot. If the question isn't answerable, please output ""Can't answer"". Question: Whose father forbids her to leave? Title: Boy Eats Girl Movie plot: While working in the church, Grace finds a hidden crypt. While exploring she discovers a voodoo book, however she is soon sent away by Father Cornelius. Grace's son, Nathan attends the local high school, with his friends Henry and Diggs. Nathan likes his long-time friend Jessica however is too scared to ask her out, in case he is rejected. Also in the school are popular girls Charlotte, Glenda and Cheryl. Cheryl pursues Nathan, despite already having a boyfriend, Samson, who confronts Nathan along with his womanising friend Kenneth after seeing Cheryl talking to Nathan. Meanwhile, Henry and Diggs, fed up with Nathan not asking out Jessica, force the pair to meet after school. While Nathan waits for Jessica, he writes a note about what he will say to her to ask her out. Meanwhile, Jessica's over-protective father forbids her to leave, but she sneaks out. Nathan becomes impatient due to Jessica's lateness and leaves before Jessica arrives; she reads the note; however, through a misunderstanding, Nathan believes Jessica is with Kenneth. Nathan goes home and contemplates hanging himself in his room. Just as he dismisses the idea, Grace enters and knocks the chair over Nathan is standing on, causing him to be hanged. Grace returns to the church and performs a ritual from the book, which brings Nathan back to life. The ritual seems to have gone well, despite Nathan not remembering what happened, however Father Cornelius soon warns Grace that the book was damaged and those who are resurrected by it have the urge to eat human flesh. At school, Nathan hears Kenneth lying about what happened with Jessica the previous night to Samson and another friend, Shane. As Jessica attempts to ask Nathan out, he turns her down, thinking what Kenneth said was true. As the day progresses, Nathan slowly succumbs to the symptoms of the book. At night, everyone heads to a school disco, where Nathan soon becomes more zombie-like and bites Samson before returning home. As Samson becomes a zombie, he attacks Shane and infects him. Jessica...
Answer:",Jessica's father forbids her to leave.,,
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"The performance on 16 February was broadcasted live by Arte TV, the first time Pina Bausch permitted one of her productions to be televised live (DVD release will follow).

Translate to German","Die Aufführung am 16. Februar wurde live von Arte TV übertragen, das erste Mal, dass Pina Bausch einer ihrer Produktionen erlaubte, live im Fernsehen ausgestrahlt zu werden (eine DVD-Veröffentlichung wird folgen).

Übersetzt ins Deutsche.",,
You are an AI assistant. Provide a detailed answer so user don’t need to search outside to understand the answer.,"Please answer the following question: Read the bio below and try to give details on sebestyén , archbishop of esztergom 's:    - title     - successor     - death date     - predecessor       - term end     - appointed     - name     - archdiocese     - birth place     - religion     Bio: blessed sebestyén -lrb- died 1007 -rrb- , was a hungarian benedictine missionary , prelate and politician , who served as archbishop of esztergom between 1002 and 1007 .
A:","Title: Sebestyén was the Archbishop of Esztergom.

Successor: It is not mentioned in the given bio who succeeded Sebestyén as the Archbishop of Esztergom.

Death date: Sebestyén died in the year 1007.

Predecessor: It is not mentioned in the given bio who preceded Sebestyén as the Archbishop of Esztergom.

Term end: Sebestyén served as the Archbishop of Esztergom until his death in 1007.

Appointed: It is not mentioned in the given bio who appointed Sebestyén as the Archbishop of Esztergom.

Name: Sebestyén is also known as Blessed Sebestyén.

Archdiocese: Sebestyén served as the Archbishop of Esztergom.

Birthplace: It is not mentioned in the given bio where Sebestyén was born.

Religion: Sebestyén was a Hungarian Benedictine missionary, prelate, and politician.",,
You are an AI assistant that follows instruction extremely well. Help as much as you can.,"Please answer the following question: Dialogue:  W: John, my dad's new MP3 player seems to be missing. Did you move it?  M: No, I didn't. Isn't it right next to the computer?  W: No, and I don't see it anywhere. I have the feeling one of our party guests took it.  M: Really? What are you going to do now?  W: I'll just tell my parents what happened, I guess.  M: Then they'll know you had people over without permission. Won't they be angry about that?  W: Probably. I wish I'd done that from the start, instead of keeping my plans secret. They'd have said no to a party, and the MP3 player would still be here.  Question: What did the girl regret?   - Not telling her parents about the party.  - Not keeping her plans secret.  - Not keeping tile MP3 player well.
Answer:",The girl regretted not telling her parents about the party.,,
You are an AI assistant that follows instruction extremely well. Help as much as you can.,"Q: Q: What is the name for the line dividing the earth's hemispheres?   A:

Select from:
 -latitude.
 -longitude.
 -plate.
 -equator.
A:",The name for the line dividing the earth's hemispheres is the Equator.,,
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Translate from Spanish to English:

La uva procede de pequeños viñedos plantados a una altitud de 750-850 metros, situados en Cadalso de los Vidrios y San Martín de Valdeiglesias, pequeños pueblos de la sierra de Gredos.","The grape comes from small vineyards planted at a height of 750-850 meters, which are located in Cadalso de los Vidrios and San Martín de Valdeiglesias, small towns in the Gredos mountains.

Now, let me explain this in a simple way for a five-year-old:

The grape grows in little gardens that are very high up, between 750 and 850 steps high. These gardens are in two small towns called Cadalso de los Vidrios and San Martín de Valdeiglesias, which are in some big hills named Gredos.",,
